title,year,author,cue_type,class ,decision_type,synchro,cue_role,notes,study_location,author_location,species,lifehistory
Hidden leks in a migratory songbird: mating advantages for earlier and more attractive males,2020,"Manica, LT; Graves, JA; Podos, J; Macedo, RH",mating competition,birds (Aves),migration timing,differential,drive earlier migration?,"potential for the increased mating success to drive earlier migration, but I lean towards excluding as it's not clearly a social cue (could be due to fitness, selection for earlier phenology, etc.)",central brazil savannas (Fazenda Agua Limpa),Brazil,blue-black grassquit,"migration to breeding grounds, socially monogamous, seek extrapair fertilizations"
"Sex-differentiated migration patterns, protandry and phenology in North European songbird populations",2007,"Tottrup, AP; Thorup, K",breeding competition (either rank or mate opportunity),birds (Aves),to migrate or not to migrate,differential,competition drives synchronized early migration of males in advance of females,"hesitant to include this one - no specific mention of cues used to synchronize, suggests that females may respond to breeding condition phenology + males respond to female phenology",several,Copenhagen,night migrating passarine,"migrating towards equater for breeding season, males first to establish territory then females following to find mates"
"Timing and seasonality of the terminal molt and mating migration in the spider crab, Maja brachydactyla: Evidence of alternative mating strategies",2006,"Corgos, A; Verisimo, P; Freire, J",breeding competition between males,inveribrate/crustacean,migration timing,differential,drive time dependent gradient of male quality (lower quality earlier),"low quality males migrate earlier to beat stronger males, stronger males migrate later to increase paternity odds, unclear if this is evolutionary or social",Ria de A Coruna (spain),Guadalajara,spider crab,migrate after maturation to mate in deep sea
From disorder to order in marching locusts,2006,"Buhl, J; Sumpter, DJT; Couzin, ID; Hale, JJ; Despland, E; Miller, ER; Simpson, SJ",density dependency,insects,migration onset,synchronous,density dependence drives beginning of collective march,this paper doesn't discuss the migratory context of collective movement,lab/arena,Sydney,locusts,random post hatch migrations
Density-dependent migratory waves in the marine pelagic ecosystem,2006,"Fauchald, P; Mauritzen, M; Gjosaeter, H",density dependency,fish,migration progress,synchronous,causes fish to travel farther and faster away from wintering grounds,Density dependent migratory wave,north of scandinavia in the Barents Sea,Norway,capelin cod,feeding related migration north during summer
Spatial patterns of white stork (Ciconia ciconia) migratory phenology in the Iberian Peninsula,2007,"Gordo, O; Sanz, JJ; Lobo, JM","density dependency, competition for nesting sites",birds (Aves),migration timing,differential,causes earlier arrival + departure at high density breeding grounds,"earlier departure was not significant in model with all variables, but was alone (?), suggested that earlier arrival more likely due to competition than to spatial overlap of independent variables",spain,Spain,white stork,migration to breeding grounds (colonial nesting)
Factors triggering floodplain fish emigration: importance of fish density and food availability,2009,"Louca, V; Lindsay, SW; Lucas, MC",density dependence,fish,to migrate or not to migrate,differential,high density drives outward emigration,lower resource availability relative to population size increased exploration but had no significant effect on emigration,Gambia River floodplains (lab study),Scottland,Guinea tilapia,emigrate when seasonal flooding expands territory
Critical Population Density Triggers Rapid Formation of Vast Oceanic Fish Shoals,2009,"Makris, NC; Ratilal, P; Jagannathan, S; Gong, Z; Andrews, M; Bertsatos, I; Godo, OR; Nero, RW; Jech, JM",density dependency,fish,migration onset,synchronous,"leaders form high density groups, triggers shoaling and subsequent collective migration to spawning grounds",,northern georges bank,Massachusetts,Atlantic herring,synchronous migration to spawning grounds
"Senescence and carryover effects of reproductive performance influence migration, condition, and breeding propensity in a small shorebird",2017,"Weithman, C; Gibson, D; Hunt, K; Friedrich, M; Fraser, J; Karpanty, S; Catlin, D",density dependence and population-wide reproductive output,birds (Aves),migration timing,synchronous,population-wide breeding output from the preceding year impacts timing of migration arrival and departure (from nonbreeding locations) ,,Missouri River and S. Atlantic and Gulf Coasts (N America),USA,piping plover (Charadrius melodus),migration to/from nonbreeding grounds
"Mass Migration of Social Voles (Microtus socialis Pallas, 1773) in the Northwestern Caspian Region",2018,"Bukreeva, OM; Lidzhi-Garyaeva, GV",density dependence,mammals (Mammalia),to migrate or not to migrate,differential,overpopulation in usual range drives long-range migratory movement,,"Kalmykia, Russia",Russia,social vole (Microtus socialis),"usually non-migratory, anomalous migration"
Is ungulate migration culturally transmitted? Evidence of social learning from translocated animals,2018,"Jesmer, BR; Merkle, JA; Goheen, JR; Aikens, EO; Beck, JL; Courtemanch, AB; Hurley, MA; MeWhicter, DE; Miyasaki, HM; Monteith, KL; Kauffman, MJ",cultural (horizontal) transmission / social learning,mammals (Mammalia),to migrate or not to migrate,differential,increase foraging knowledge -> increase propensity to migrate,,"Northwestern US (Idaho, Wyoming, tangential areas)",Yale (phd in Wyoming),moose + bighorn sheep,"greenwave surfing, partially migratory"
"Cultural transmission and flexibility of partial migration patterns in a long-lived bird, the great bustard Otis tarda",2011,"Palacin, C; Alonso, JC; Alonso, JA; Magana, M; Martin, CA",social transmission,birds (Aves),to migrate or not to migrate,differential,"immature males acquire migratory behavior after joining flock of adult conspecifics at 1-3 yrs, females learn from mother",good paper,Iberian Peninsula,Spain,great bustard,flexible migration to wintering grounds
Individual Black-tailed Godwits do not stick to single routes: a hypothesis on how low population densities might decrease social conformity,2020,"Loonstra, AHJ; Verhoeven, MA; Zbyryt, A; Schaaf, E; Both, C; Piersma, T",social learning facilitated by greater population size,birds (Aves),migration timing,synchronous,"social transmission of information on optimal migration timing, facilitated by density dependence",hypothesized mechanism based on small sample size,"Europe, N Africa, Sub-Saharan Africa","Netherlands, Poland",black-tailed godwit (Limosa limosa),
Paternal effects in the initiation of migratory behaviour in birds,2021,"Mendez, V; Gill, JA; Porisson, B; Vignisson, SR; Gunnarsson, TG; Alves, JA",social learning,birds (Aves),to migrate or not to migrate,synchronous,whether or not to migrate,,"Iceland, N Europe","Iceland, Portugal, UK",Eurasian oystercatch (Haematopus ostralegus),
"Individual Variability in Migration Timing Can Explain Long-Term, Population-Level Advances in a Songbird",2019,"Fraser, KC; Shave, A; de Greef, E; Siegrist, J; Garroway, CJ",social interactions at stopovers (visual? not really specified),birds (Aves),migration timing,synchronous,"social interactions likely allow for greater flexibility in the timing of several migration timing metrics (arrival, departure, stopovers)","really good example, also makes reference to another potential social cue in migration for this species: competition for nest cavities (Brown and Tarof, 2013)",N America,"Canada, USA",purple martin (Progne subis),
The importance of early life experience and animal cultures in reintroductions,2018,"Teitelbaum, CS; Converse, SJ; Mueller, T",acquire migration by following leaders,birds (Aves),to migrate or not to migrate,synchronous,birds acquire migratory behavior by following conspecifics (or aircrafts as shown in their reintroduction),"paper focuses more on how migration distance evolves w age than on the act of migrating, lean towards no",wisconsin -> florida,Georgia,whooping cranes,migrate south to overwintering grounds
Consistency in the timing of migration for individual Bewick's swans,1989,Rees,social learning,birds (Aves),migration timing,,acquire migratory threshhold from parents,"highly speculative/stated that aqcuisition may be inherited or learned, but genetic comparisons suggest that trait is not inherited",Slimbridge,United Kingdom,Bewick's Swan,migration to winter at slimbridge
"Migration dances in swarming colonies of the honey bee, Apis mellifera",2008,"Lewis, LA; Schneider, SS","""relocation"" or migration dance",insects,migration onset,synchronous,"dances beginning 2 weeks before reproductive may indicate that hive should prepare to leave, similar dance has been observed before seasonal absconding",speculative,UNC Charlotte campos,Georgia,european honey bee,"seasonal absconding from hive, prepareation for reproductive swarming"
Acoustic signature reveals blue whales tune life history transitions to oceanographic conditions,2021,Oestreich,vocalization transition,mammals (Mammalia),migration onset,synchronous,,,,,,
"BEHAVIOURAL ASPECTS OF THE DEPARTURE OF WADERS
 BEFORE LONG-DISTANCE FLIGHTS: FLOCKING,
 VOCALIZATIONS, FLIGHT PATHS AND DIURNAL TIMING",1990,Piersma,vocalizations + pre migration flight activity,birds (Aves),migration onset,synchronous,synchronize departure to improve collective navigation abilities,highly speculative,dutch delta/wadden sea,Netherlands,waders,migrate south towards from Scandinavia to southern breeding grounds
Preflight Signalling in Swans: A Mechanism for Group Cohesion and Flock Formation,1987,Black,head movement,birds (Aves),migration onset,synchronous,preflight signalling performance increases synchrony between pairs/families and attracts other followers in departure,great paper - potentially useful references that I didn't look into,scotland,California,Bewick's Swan,
