Title,First Author,Year,Cue Type,Decision Scale,Taxonomic Group,Species,"Adaptive in tracking environmental variability? (adaptive, maladaptive, or not discussed)",Is the social cue conclusion hypothesized or speculative?,Notes
Ontogenetic shifts from social to experiential learning drive avian migration timing,Abrahms,2021,social learning,migration progress,Birds,whooping crane,adaptive in responding to environmental variability,No,
Social interactions shape the timing of spawning migrations in an anadromous Fish,Berdahl,2017,leader/follower,migration progress,Fish,sockeye salmon,adaptive for avoidance of predators; adaptation in the context of changing climate is discussed but whether this social cue will lead to adaptive or maladaptive behavior is unclear according to the authors,No,
From disorder to order in marching locusts,Buhl,2006,density dependency,to migrate or not to migrate,Insects,locust,not discussed,No,
"Mass Migration of Social Voles (Microtus socialis Pallas, 1773) in the Northwestern Caspian Region",Bukreeva,2018,density dependency,to migrate or not to migrate,Mammals,social vole,not discussed,*Speculative mechanism,
Paternal transmission of migration knowledge in a long-distance bird migrant,Byholm,2022,presence of young,migration progress,Birds,Caspian tern,not discussed for the adults,No,2 case studies in 1 publication here: migration progress of young learned socially from adults; migration progress of adults slowed by presence of young
Paternal transmission of migration knowledge in a long-distance bird migrant,Byholm,2022,social learning,migration progress,Birds,Caspian tern,adaptive (juveniles who lose contact with experienced migrants all died due to predation along migration route),No,
"Timing and seasonality of the terminal molt and mating migration in the spider crab, Maja brachydactyla: Evidence of alternative mating strategies",Corgos,2006,conspecific competition,migration timing broad,Crustaceans,spider crab,not discussed,No,
"The role of ""conservatism"" in herring migrations; A possible adaptation of herring feeding migrations to a change in timing of the Calanus finmarchicus season in the eastern North Sea",Corten,2002,social learning,migration timing broad,Fish,North Sea herring,adaptive in responding to environmental variability,*Speculative mechanism,2nd reference: Corten (2000) ICES Journal of Marine Science
Behavioural flexibility in migratory behaviour in a long-lived large herbivore,Eggeman,2016,density dependency,to migrate or not to migrate,Mammals,elk,discussed briefly but not with relation to ecosystem dynamics. speculation about this being adaptive for the sake of avoiding competition in the population (between residents and migrants) and reducing predation pressure via population dispersal,No,
Density-dependent migratory waves in the marine pelagic ecosystem,Fauchald,2006,density dependency,migration progress,Fish,capelin,not discussed,*Speculative mechanism,
Differential Timing of Spring Migration in Rose-Breasted Grosbeaks,Francis,1990,conspecific competition,migration timing broad,Birds,rose-breasted grosbeak,not discussed,*Speculative mechanism,
"Individual Variability in Migration Timing Can Explain Long-Term, Population-Level Advances in a Songbird",Fraser,2019,social learning,migration progress,Birds,purple martin,not discussed,*Speculative mechanism,
"Individual Variability in Migration Timing Can Explain Long-Term, Population-Level Advances in a Songbird",Fraser,2019,social learning,migration timing broad,Birds,purple martin,not discussed,*Speculative mechanism,
Migratory salmon smolts exhibit consistent interannual depensatory predator swamping: Effects on telemetry-based survival estimates,Furey,2021,density dependency,migration progress,Fish,sockeye salmon,adaptive for avoidance of predators but not discussed in relation to changing climate or environmental variability (similar to row 30),No,A 2nd reference from Furey et al. to include in the table: Predator swamping reduces predation risk during nocturnal migration of juvenile salmon in a high-mortality landscape (Journal of Animal Ecology; 2016)
Movement patterns of humpback whales (Megaptera novaeangliae) reoccupying a Brazilian breeding ground,Goncalves,2018,presence of young,migration progress,Mammals,humpback whale (Brazilian breeding grounds),not discussed,No,
Spatial patterns of white stork (Ciconia ciconia) migratory phenology in the Iberian Peninsula,Gordo,2007,conspecific competition,migration timing broad,Birds,white stork,not discussed,No,
Family size dynamics in wintering geese,Gupte,2019,presence of young,migration timing broad,Birds,greater white-fronted goose (Anser albifrons),not discussed,No,
Age-dependent migration strategy in honey buzzards,Hake,2003,social learning,migration progress,Birds,honey buzzard,adaptive in responding to environmental variability,*Speculative mechanism,
Is ungulate migration culturally transmitted? Evidence of social learning from translocated animals,Jesmer,2018,social learning,to migrate or not to migrate,Mammals,moose,adaptive (discussed briefly),No,
Is ungulate migration culturally transmitted? Evidence of social learning from translocated animals,Jesmer,2018,social learning,to migrate or not to migrate,Mammals,bighorn sheep,adaptive (discussed briefly),No,
Is ungulate migration culturally transmitted? Evidence of social learning from translocated animals,Jesmer,2018,social learning,migration progress,Mammals,moose,adaptive (discussed briefly),No,
